Date,GLD,IWM,QQQ,SPY,TLT
2010-01-04,109.80000305175781,51.457942962646484,40.34158706665039,85.02796173095703,56.35947799682617
2010-01-05,109.69999694824219,51.28099060058594,40.34158706665039,85.25302124023438,56.72341537475586
2010-01-06,111.51000213623047,51.232730865478516,40.09825897216797,85.31304931640625,55.96410369873047
2010-01-07,110.81999969482422,51.610748291015625,40.12433624267578,85.6731948852539,56.05827713012695
2010-01-08,111.37000274658203,51.89224624633789,40.45457458496094,85.95829010009766,56.03315353393555
2010-01-11,112.8499984741211,51.68312072753906,40.28944778442383,86.07832336425781,55.725669860839844
2010-01-12,110.48999786376953,51.120147705078125,39.7853889465332,85.27555084228516,56.67950439453125
2010-01-13,111.54000091552734,51.7796516418457,40.2807502746582,85.99578094482422,56.02061080932617
2010-01-14,112.02999877929688,51.97268295288086,40.31552505493164,86.2283935546875,56.80502700805664
2010-01-15,110.86000061035156,51.21666717529297,39.84621047973633,85.26050567626953,57.156463623046875
2010-01-19,111.5199966430664,52.15766525268555,40.489341735839844,86.325927734375,56.993282318115234
2010-01-20,108.94000244140625,51.40164566040039,39.90705871582031,85.4480972290039,57.57064437866211
2010-01-21,107.37000274658203,50.557151794433594,39.533382415771484,83.80503845214844,57.834224700927734
2010-01-22,107.16999816894531,49.64829635620117,38.377525329589844,81.93687438964844,57.73377227783203
2010-01-25,107.4800033569336,49.70459747314453,38.50788497924805,82.35698699951172,57.470211029052734
2010-01-26,107.55999755859375,49.213993072509766,38.54263687133789,82.01190185546875,57.48905944824219
2010-01-27,106.52999877929688,49.736778259277344,38.84681701660156,82.40203857421875,57.45769119262695
2010-01-28,106.4800033569336,48.88423156738281,37.8474006652832,81.4566879272461,57.42632293701172
2010-01-29,105.95999908447266,48.345367431640625,37.186912536621094,80.57135009765625,57.928314208984375
2010-02-01,108.3499984741211,48.91640090942383,37.595375061035156,81.82427215576172,57.4024543762207
2010-02-02,109.12999725341797,49.45526123046875,37.93431091308594,82.81466674804688,57.566219329833984
2010-02-03,108.69999694824219,49.12552261352539,38.14287185668945,82.40203857421875,56.89866256713867
2010-02-04,104.37000274658203,47.484779357910156,37.03919219970703,79.85858917236328,57.799224853515625
2010-02-05,104.68000030517578,47.6697883605957,37.35203552246094,80.0236587524414,57.92515182495117
2010-02-08,104.04000091552734,47.19524002075195,37.08263397216797,79.44596862792969,58.00078582763672
2010-02-09,105.41000366210938,47.846710205078125,37.46501159667969,80.44383239746094,57.42135238647461
2010-02-10,105.12000274658203,47.959312438964844,37.38678741455078,80.2862319946289,56.873477935791016
2010-02-11,107.12999725341797,48.72338104248047,37.951690673828125,81.12657165527344,56.56488037109375
2010-02-12,107.04000091552734,49.0772590637207,38.02991485595703,81.05902862548828,56.79793930053711
2010-02-16,109.62000274658203,49.905670166015625,38.516578674316406,82.33450317382812,56.90497589111328
2010-02-17,109.25,50.24348068237305,38.73383331298828,82.72460174560547,56.256309509277344
2010-02-18,109.9800033569336,50.65365982055664,38.977176666259766,83.21229553222656,56.02958679199219
2010-02-19,109.47000122070312,50.7180061340332,38.95979309082031,83.38488006591797,56.331886291503906
2010-02-22,109.06999969482422,50.87080383300781,38.88158416748047,83.39988708496094,56.09886932373047
2010-02-23,107.88999938964844,50.275630950927734,38.377525329589844,82.38699340820312,56.97423553466797
2010-02-24,107.36000061035156,50.70191955566406,38.768611907958984,83.1447525024414,57.1127815246582
2010-02-25,108.30999755859375,50.7180061340332,38.75991439819336,83.03224182128906,57.4339714050293
2010-02-26,109.43000030517578,50.50889205932617,38.898956298828125,83.08476257324219,57.72993850708008
2010-03-01,109.43000030517578,51.68312072753906,39.46385192871094,83.94757080078125,57.704708099365234
2010-03-02,111.0199966430664,52.077239990234375,39.585533142089844,84.18014526367188,57.628875732421875
2010-03-03,111.62999725341797,52.374813079833984,39.62894058227539,84.25517272949219,57.48354721069336
2010-03-04,110.83000183105469,52.51152801513672,39.759307861328125,84.51024627685547,57.78683853149414
2010-03-05,110.80999755859375,53.581260681152344,40.35897445678711,85.71817016601562,57.02867126464844
2010-03-08,109.87999725341797,53.67775344848633,40.43719482421875,85.73320007324219,56.73175048828125
2010-03-09,109.72000122070312,53.87078094482422,40.66313934326172,85.87576293945312,56.74440002441406
2010-03-10,108.47000122070312,54.32923126220703,40.993377685546875,86.2583999633789,56.599063873291016
2010-03-11,108.5999984741211,54.49007797241211,41.14982223510742,86.61851501464844,56.80755615234375
2010-03-12,107.94999694824219,54.46596145629883,41.158504486083984,86.62602233886719,57.161346435546875
2010-03-15,108.36000061035156,54.28095245361328,41.05421447753906,86.6485595703125,57.0855598449707
2010-03-16,110.4000015258789,54.7474479675293,41.31494903564453,87.33878326416016,57.540435791015625
2010-03-17,109.58999633789062,55.06915283203125,41.42790603637695,87.8564682006836,57.78683853149414
2010-03-18,110.33999633789062,54.900272369384766,41.56696319580078,87.81141662597656,57.59726333618164
2010-03-19,108.27999877929688,54.21662139892578,41.31553268432617,87.36698150634766,57.65412902832031
2010-03-22,107.75,54.98070526123047,41.68962478637695,87.83406066894531,57.71733474731445
2010-03-23,108.31999969482422,55.680419921875,41.976741790771484,88.4518051147461,57.445655822753906
2010-03-24,106.30000305175781,55.04505920410156,41.77663803100586,88.02238464355469,56.396942138671875
2010-03-25,106.77999877929688,54.698360443115234,41.71572494506836,87.87922668457031,56.036827087402344
2010-03-26,108.58999633789062,54.674171447753906,41.75923156738281,87.82653045654297,56.19476318359375
2010-03-29,108.75,54.972496032714844,41.95934295654297,88.38399505615234,55.97994613647461
2010-03-30,107.97000122070312,55.141815185546875,42.0985221862793,88.44424438476562,56.15685272216797
2010-03-31,108.94999694824219,54.666099548339844,41.89842224121094,88.14291381835938,56.54228973388672
2010-04-01,110.26000213623047,55.174076080322266,41.89842224121094,88.7455825805664,56.404029846191406
2010-04-05,110.88999938964844,56.20609664916992,42.289920806884766,89.46883392333984,55.46554183959961
2010-04-06,111.02999877929688,56.53669738769531,42.411705017089844,89.67976379394531,55.554317474365234
2010-04-07,112.48999786376953,56.35934066772461,42.30731964111328,89.16748809814453,56.2645149230957
2010-04-08,112.6500015258789,56.3028564453125,42.40300369262695,89.47635650634766,56.289878845214844
2010-04-09,113.63999938964844,56.64149475097656,42.655303955078125,90.06401062011719,56.42300796508789
2010-04-12,113.01000213623047,56.87533187866211,42.69010543823242,90.2071304321289,56.72106170654297
2010-04-13,112.69000244140625,57.004337310791016,42.9076042175293,90.27491760253906,56.90495681762695
2010-04-14,113.02999877929688,58.22180938720703,43.42089080810547,91.29950714111328,56.505470275878906
2010-04-15,113.6500015258789,58.39920425415039,43.612281799316406,91.37486267089844,56.56888961791992
2010-04-16,111.23999786376953,57.617130279541016,43.09029006958008,89.92085266113281,56.9810791015625
2010-04-19,111.1500015258789,57.33491897583008,43.0641975402832,90.25984954833984,56.84156799316406
2010-04-20,111.45999908447266,58.117027282714844,43.28168487548828,91.06597137451172,57.0444450378418
2010-04-21,112.30999755859375,58.52016830444336,43.525306701660156,90.90023040771484,57.513736724853516
2010-04-22,111.83999633789062,59.14100646972656,43.768882751464844,91.17143249511719,57.34251403808594
2010-04-23,113.19000244140625,59.76991653442383,43.95158386230469,91.76658630371094,57.13958740234375
2010-04-26,112.75,59.54414367675781,43.855899810791016,91.42001342773438,57.20295333862305
2010-04-27,114.62999725341797,58.18151092529297,42.92500305175781,89.25789642333984,58.008304595947266
2010-04-28,114.30999755859375,58.27826690673828,42.951114654541016,89.93595123291016,57.513736724853516
2010-04-29,114.27999877929688,59.51186752319336,43.69929122924805,91.05091857910156,57.754676818847656
2010-04-30,115.36000061035156,57.77031326293945,42.8380126953125,89.50651550292969,58.42050552368164
2010-05-03,115.7300033569336,59.06840515136719,43.43830108642578,90.66667938232422,58.34409713745117
2010-05-04,114.87000274658203,57.21397399902344,42.13330841064453,88.53466796875,59.3940544128418
2010-05-05,115.08999633789062,56.37544631958008,41.915828704833984,88.00731658935547,59.7440299987793
2010-05-06,118.48999786376953,54.26296615600586,40.515140533447266,85.08429718017578,61.58934783935547
2010-05-07,118.2699966430664,52.698768615722656,39.505977630615234,83.81865692138672,60.81940460205078
2010-05-10,117.56999969482422,55.6578254699707,41.559139251708984,87.51010131835938,59.55946350097656
2010-05-11,120.66000366210938,56.028743743896484,41.515628814697266,87.2614974975586,59.40675354003906
2010-05-12,121.4000015258789,57.74611282348633,42.298614501953125,88.48193359375,58.954978942871094
2010-05-13,120.55999755859375,57.18979263305664,41.62874221801758,87.38202667236328,59.343162536621094
2010-05-14,120.37000274658203,56.08517074584961,40.82835006713867,85.79998016357422,60.373985290527344
2010-05-17,119.36000061035156,56.18998336791992,40.95885467529297,85.84515380859375,60.15128707885742
2010-05-18,119.48999786376953,55.109561920166016,40.39335250854492,84.67745971679688,61.07391357421875
2010-05-19,116.62999725341797,54.45646667480469,40.07145690917969,84.19535827636719,61.277591705322266
2010-05-20,115.83999633789062,51.69898223876953,38.583770751953125,81.01615142822266,62.56930923461914
2010-05-21,115.22000122070312,52.46495819091797,39.01008987426758,82.1989517211914,62.6329231262207
2010-05-24,116.83999633789062,51.76348114013672,38.85347366333008,81.14423370361328,62.41656494140625
2010-05-25,117.36000061035156,51.755435943603516,38.88827896118164,81.22711944580078,62.72199630737305
2010-05-26,118.47000122070312,51.88444137573242,38.45328140258789,80.73741149902344,62.5438346862793
2010-05-27,118.69000244140625,54.10977554321289,39.90616226196289,83.44196319580078,61.12481689453125
2010-05-28,118.87999725341797,53.416378021240234,39.67123794555664,82.39479064941406,61.40484619140625
2010-06-01,119.91000366210938,51.79573059082031,39.30587387084961,81.0086441040039,61.8364372253418
2010-06-02,119.77999877929688,53.27124786376953,40.23675537109375,83.1180419921875,61.24899673461914
2010-06-03,117.95999908447266,53.956600189208984,40.61954879760742,83.40431213378906,60.80208206176758
2010-06-04,119.19000244140625,51.247459411621094,39.22758865356445,80.47373962402344,62.436580657958984
2010-06-07,121.48999786376953,49.925167083740234,38.514190673828125,79.47177124023438,62.91547775268555
2010-06-08,121.0,49.90095901489258,38.44460678100586,80.32307434082031,62.60260009765625
2010-06-09,120.55999755859375,49.93321990966797,38.1226921081543,79.8936538696289,62.532371520996094
2010-06-10,118.97000122070312,51.658660888671875,39.210174560546875,82.22904968261719,61.41500473022461
2010-06-11,120.01000213623047,52.360137939453125,39.584266662597656,82.6283187866211,62.1939582824707
2010-06-14,119.5999984741211,52.69071578979492,39.575584411621094,82.50027465820312,61.874732971191406
2010-06-15,120.98999786376953,54.013004302978516,40.636932373046875,84.3761215209961,61.61931610107422
2010-06-16,120.33000183105469,53.763057708740234,40.80224609375,84.34599304199219,61.97049331665039
2010-06-17,121.9000015258789,53.827571868896484,40.9327392578125,84.48162841796875,62.474945068359375
2010-06-18,122.83000183105469,53.859825134277344,40.96673583984375,84.57319641113281,62.37274169921875
2010-06-21,120.38999938964844,53.30348587036133,40.618080139160156,84.33098602294922,62.1939582824707
2010-06-22,121.44999694824219,52.20694351196289,40.304298400878906,82.93820190429688,62.934593200683594
2010-06-23,120.94999694824219,52.061805725097656,40.138675689697266,82.68081665039062,63.36235427856445
2010-06-24,121.30000305175781,51.23134231567383,39.52851867675781,81.31077575683594,62.98568344116211
2010-06-25,122.76000213623047,52.11018371582031,39.53640365600586,81.65137481689453,63.24107360839844
2010-06-28,121.08999633789062,51.811859130859375,39.39665222167969,81.39403533935547,63.83487319946289
2010-06-29,121.2699966430664,49.85259246826172,37.87703323364258,78.8810043334961,64.53081512451172
2010-06-30,121.68000030517578,49.280128479003906,37.30062484741211,78.13162231445312,64.9649658203125
2010-07-01,117.04000091552734,48.92536926269531,37.195838928222656,77.78340148925781,65.06742095947266
2010-07-02,118.48999786376953,48.39064407348633,37.09101486206055,77.35952758789062,64.5486831665039
2010-07-06,116.51000213623047,47.759681701660156,37.20457077026367,77.86665344238281,65.08018493652344
2010-07-07,117.7300033569336,49.42609405517578,38.39230728149414,80.31920623779297,64.31812286376953
2010-07-08,117.20999908447266,50.137962341308594,38.601932525634766,81.11399841308594,63.90827560424805
2010-07-09,118.36000061035156,50.91453170776367,38.968719482421875,81.71952056884766,63.54322814941406
2010-07-12,117.33999633789062,50.34019470214844,39.0822639465332,81.77249145507812,63.517547607421875
2010-07-13,118.36000061035156,51.933799743652344,39.58881378173828,83.00634002685547,62.97323989868164
2010-07-14,118.30000305175781,51.74776077270508,39.78968048095703,82.99876403808594,63.607276916503906
2010-07-15,118.2300033569336,51.27048110961914,39.82460403442383,83.02143096923828,64.24129486083984
2010-07-16,116.66999816894531,49.40183639526367,38.72419357299805,80.73550415039062,64.55510711669922
2010-07-19,115.7300033569336,49.61214828491211,39.05607223510742,81.2123794555664,64.1579818725586
2010-07-20,116.6500015258789,50.44535827636719,39.527671813964844,82.1131362915039,64.25409698486328
2010-07-21,115.8499984741211,49.53935623168945,38.98619079589844,81.04586791992188,65.3427963256836
2010-07-22,116.86000061035156,51.30282974243164,39.973052978515625,82.85492706298828,64.58711242675781
2010-07-23,116.08999633789062,52.56476974487305,40.22635269165039,83.57402801513672,63.90180969238281
2010-07-26,115.5199966430664,53.76200866699219,40.5582160949707,84.44454193115234,63.79298400878906
2010-07-27,113.51000213623047,53.567874908447266,40.54075622558594,84.43694305419922,63.178184509277344
2010-07-28,113.77999877929688,52.70229721069336,40.21760177612305,83.89197540283203,63.38309860229492
2010-07-29,114.29000091552734,52.56476974487305,39.9206657409668,83.48321533203125,63.3638916015625
2010-07-30,115.48999786376953,52.59712600708008,40.00802230834961,83.46807098388672,64.35012817382812
2010-08-02,115.54000091552734,53.51124954223633,40.759098052978516,85.35282897949219,63.446781158447266
2010-08-03,115.98999786376953,53.082496643066406,40.58441925048828,84.94410705566406,63.81304168701172
2010-08-04,116.72000122070312,53.64064407348633,40.99489212036133,85.51180267333984,63.324737548828125
2010-08-05,116.9800033569336,53.009674072265625,40.898826599121094,85.42097473144531,63.620277404785156
2010-08-06,117.83999633789062,52.6942024230957,40.83769607543945,85.07278442382812,64.31419372558594
2010-08-09,117.4000015258789,53.276649475097656,41.117164611816406,85.52694702148438,64.07643127441406
2010-08-10,117.7300033569336,52.273555755615234,40.759098052978516,85.06521606445312,64.21135711669922
2010-08-11,117.33999633789062,50.21886444091797,39.64994812011719,82.73382568359375,65.07233428955078
2010-08-12,118.7699966430664,49.968082427978516,39.335533142089844,82.22665405273438,64.91170501708984
2010-08-13,118.73999786376953,49.40183639526367,39.05607223510742,81.9844741821289,65.72129821777344
2010-08-16,119.7300033569336,49.79820251464844,39.125919342041016,81.94660949707031,67.36602783203125
2010-08-17,119.75,50.655670166015625,39.623722076416016,82.95335388183594,66.98052978515625
2010-08-18,120.22000122070312,50.80937194824219,39.78093719482422,83.1047592163086,67.1604232788086
2010-08-19,120.38999938964844,49.417999267578125,39.178340911865234,81.65897369384766,68.20771789550781
2010-08-20,119.97000122070312,49.466548919677734,39.23073196411133,81.39403533935547,68.130615234375
2010-08-23,119.77999877929688,48.79512405395508,38.84646224975586,81.08367156982422,68.14339447021484
2010-08-24,120.36000061035156,48.23694610595703,38.12158203125,79.88011169433594,69.23571014404297
2010-08-25,121.36000061035156,48.964996337890625,38.48839569091797,80.19050598144531,69.01082611083984
2010-08-26,120.95999908447266,48.600982666015625,38.02550506591797,79.65306854248047,69.65972900390625
2010-08-27,121.01000213623047,49.871009826660156,38.48839569091797,80.88691711425781,67.68730926513672
2010-08-30,120.91000366210938,48.77894592285156,38.08665084838867,79.71363830566406,68.98515319824219
2010-08-31,122.08000183105469,48.68187713623047,37.95563888549805,79.71363830566406,69.74971008300781
2010-09-01,121.69000244140625,50.56668472290039,39.090999603271484,82.09799194335938,68.30752563476562
2010-09-02,122.29000091552734,51.124874114990234,39.527671813964844,82.86251831054688,67.58580017089844
